Sample No.,TL (mm),Weight (g),Species,Geimsa Result,Infected RBC,Uninfected RBC,Total RBC,Average RBC per slide,# WBCS,Infected cell per RBC load,counted by,dates counted,notes-infected-cells,Sample collection Date,,,,,,,,
15,91,16,STAD,Infected,0,1648,1648,33,12,0,jB,25-May,"yes, image -001, image 009, image 020, image 024, image 036,","8-9-2018 @Frederiksted Pier, St. Croix (n=13)",,,,,,,,
4,76,8,STAD,Infected,2,4671,4673,93.5,21,0.000427991,jB,5/15/2020,"image 007, 013, ","8/23/2018 @Carolina Point, Water Island",,,,,,,,
12,86,11,STAD,Infected,0,1107,1107,22.1,15,0,jB,16-May,no parasites in 50+ images,8/24/2018 @Stumpy Bay,,,,,,,,
13,72,7,STAD,Infected,0,1258,1258,25.2,14,0,jB,17-May,no parasites in 50+ images,8/24/2018 @Stumpy Bay,,,,,,,,
4,65,7,STAD,Infected,1,702,703,14.1,4,0.001422475,jB,17-May,image 167,"9/8/2018 @South Haulover Bay,",,,,,,,,
2,81,10,STAD,Infected,0,2758,2758,55.2,49,0,jB,17-May,no parasites in 50+ images,10/22/2018 @Great Lameshur (VIERS),,,,,,,,
7,67,5,STAD,Infected,1,1328,1329,26.6,15,0.000752445,jB,17-May,"image 195, 202,",10/22/2018 @Great Lameshur (VIERS),,,,,,,,
2,80,8,STAD,Infected,1,1592,1593,31.9,92,0.000627746,jB,18-May,"image 038, ",10/29/2018 @MMSC Dock (n=13),,,,,,,,
3,85,10,STAD,Infected,0,2446,2446,48.9,25,0,jB,18-May,no parasites in 50+ images,10/29/2018 @MMSC Dock (n=13),,,,,,,,
1,88,14.3,STAD,Infected,0,2892,2892,57.8,24,0,jB,18-May,no parasites in 50+ images, 1-24-2019 @ Hassel Island (n=5),,,,,,,,
1,65,5.6,STAD,Infected,0,1866,1866,37.3,6,0,jB,18-May,no parasites in 50+ images,2-4-2019 @ Hassel Island (n=8),,,,,,,,
3,82,11.4,STAD,Infected,0,1359,1359,27.2,24,0,jB,19-May,no parasites in 50+ images, 2-11-2019 @Lindbergh Bay West (n=4),,,,,,,,
10,68,5.7,STAD,Infected,6,1672,1678,33.6,50,0.003575685,jB,19-May,"image 003, 004, 031, 032, 045, 050, "," 2-17-2019 @Leinster Bay, St. John ",,,,,,,,
2,74,7.7,STAD,Infected,4,3916,3920,78.4,203,0.001020408,jB,20-May,"image 029, 030, two in 039, ","2-18-2019 @Chocolate Hole, St. John (n=13)",,,,,,,,
1,76,8.7,STAD,Infected,0,2791,2791,55.8,5,0,jB,22-May,no parasites in 50+ images,"3-28-2019 @Flat Cay West, St. Thomas (n=10)",,,,,,,,
9,71,6.7,STAD,Infected,0,2191,2191,43.8,31,0,jB,22-May,no parasites in 50+ images,"3-28-2019 @Flat Cay West, St. Thomas (n=10)",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
